Go back to description page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAZONE,INTERMEDIATE GEOGRAPHY CODE,INTERMEDIATE GEOGRAPHY NAME,MULTI-MEMBER WARD CODE,MULTI-MEMBER WARD NAME,SCOTTISH PARLIAMENTARY CONSTITUENCY CODE,SCOTTISH PARLIAMENTARY CONSTITUENCY NAME,LOCAL AUTHORITY CODE,LOCAL AUTHORITY NAME,COMMUNITY HEALTH PARTNERSHIP CODE,COMMUNITY HEALTH PARTNERSHIP NAME,HEALTH BOARD CODE,HEALTH BOARD NAME,SIX-FOLD URBAN RURAL CLASSIFICATION 2008 CODE,SIX-FOLD URBAN RURAL CLASSIFICATION 2008,"OVERALL 
SIMD
RANK 2009 V2","VIGINTILE
(SIMD 2009 V2)","DATAZONE IN THE 15% MOST DEPRIVED?
(SIMD 2009 V2)","INCOME 
DOMAIN 
RANK 2009 V2","EMPLOYMENT 
DOMAIN
RANK 2009","HEALTH
DOMAIN
RANK 2009","EDUCATION
DOMAIN
RANK 2009","HOUSING
DOMAIN
RANK 2009","GEOGRAPHIC ACCESS
DOMAIN
RANK 2009","CRIME
DOMAIN
RANK 2009",TOTAL POPULATION (SAPE 2007),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(SAPE 2007)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2009 V2)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2009 V2)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2009)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2009)","OVERALL 
SIMD
RANK 2006","VIGINTILE
(SIMD 2006)",DATAZONE IN THE 15% MOST DEPRIVED? (SIMD 2006),"CURRENT INCOME 
DOMAIN 
RANK 2006","EMPLOYMENT 
DOMAIN
RANK 2006","HEALTH
DOMAIN
RANK 2006","EDUCATION, SKILLS AND TRAINING
DOMAIN
RANK 2006","HOUSING
DOMAIN
RANK 2006","GEOGRAPHIC ACCESS TO SERVICES
DOMAIN
RANK 2006","CRIME
DOMAIN
RANK 2006",TOTAL POPULATION (SAPE 2004),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(SAPE 2004)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2006)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2006)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2006)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2006)","OVERALL 
SIMD
RANK 2004","VIGINTILE
(SIMD 2004)","DATAZONE IN THE 15% MOST DEPRIVED?
(SIMD 2004)","CURRENT INCOME 
DOMAIN 
RANK 2004","EMPLOYMENT 
DOMAIN
RANK 2004","HEALTH
DOMAIN
RANK 2004","EDUCATION, SKILLS AND TRAINING
DOMAIN
RANK 2004","HOUSING
DOMAIN
RANK 2004","GEOGRAPHIC ACCESS AND TELECOMMUNICATIONS
DOMAIN
RANK 2004",TOTAL POPULATION (CENSUS 2001),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(CENSUS 2001)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2004)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2004)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2004)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2004)"
S01000001,S02000003,Aberdeen City - Culter,109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,5175,16,No,4707,4303,4602,5625,3929,4200,3954,836,554,60,7.0,40,7.0,4897,16,No,4050,3903,4825,6210,3929,4144,3896,842,566,69,8.2,50,8.8,5459,17,No,4390,5026,5118,6238,3929,4057,864,575,62,7.2,36,6.3
S01000002,S02000001,Aberdeen City - Cove South,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,6071,19,No,6461,6277,6252,5506,5880,1317,5949,634,445,10,1.0,10,2.0,5807,18,No,6159,6335,5877,4166,5880,1316,6396,678,489,14,2.1,12,2.5,6150,19,No,6040,6416,6236,3719,5880,2977,687,505,14,2,10,2
S01000003,S02000001,Aberdeen City - Cove South,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,5984,19,No,6476,6152,5942,4874,4784,1873,4539,828,607,10,1.0,15,3.0,5906,19,No,6344,6379,5586,4499,4784,1688,4415,795,578,12,1.5,13,2.2,6000,19,No,5736,6322,5511,4241,4784,2987,838,568,24,2.9,14,2.5
S01000004,S02000001,Aberdeen City - Cove South,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,5957,19,No,6394,6442,6376,5316,5755,1035,5622,640,468,10,2.0,5,2.0,5973,19,No,6338,6347,6247,4773,5755,1146,6455,647,452,10,1.5,11,2.4,5869,19,No,6043,6245,6133,4093,5755,1624,641,460,13,2,13,2.8
S01000005,S02000003,Aberdeen City - Culter,109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,5886,19,No,5595,5532,4612,5942,5149,3542,4774,607,440,25,4.0,15,4.0,5732,18,No,5576,5399,4510,5680,5149,3322,3831,628,458,22,3.5,23,5.0,6049,19,No,5611,6306,4214,5838,5149,3153,663,470,21,3.2,12,2.6
S01000006,S02000003,Aberdeen City - Culter,109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,4064,13,No,2835,3549,4111,4206,3924,5335,4194,612,315,90,15.0,25,9.0,4208,13,No,2754,4232,4118,4976,3924,4818,2863,611,316,82,13.4,25,7.9,4339,14,No,2890,4208,3872,5134,3924,5501,626,346,83,13.3,29,8.4
S01000007,S02000003,Aberdeen City - Culter,109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,6273,20,No,5390,5523,5566,6110,6260.5,5448,6355,788,414,40,5.0,20,4.0,6092,19,No,5166,5302,5307,6381,6260.5,4518,5831,826,438,38,4.6,23,5.3,6184,20,No,5189,5631,5125,6231,6260.5,4782,857,464,38,4.4,22,4.7
S01000008,S02000003,Aberdeen City - Culter,109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,5080,16,No,4632,4901,4639,3722,3280,4188,4928,559,351,40,7.0,20,5.0,5266,17,No,4499,4890,4457,4823,3280,4245,6366,586,372,39,6.7,23,6.2,4357,14,No,3384,4858.5,4550,3259,3280,3824,584,358,65,11.1,24,6.7
S01000009,S02000001,Aberdeen City - Cove South,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,4778,15,No,4544,5050,4256,2635,4013,3851,5096,657,411,50,8.0,20,5.0,4532,14,No,4484,4351,4200,3119,4013,3410,3940,688,436,46,6.7,33,7.6,4882,16,No,4826.5,5056.5,3917,2990,4013,4171,710,453,40,5.6,28,6.2
S01000010,S02000001,Aberdeen City - Cove South,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,5332,17,No,5521,5751,5313,3981,4916,1696,4835,534,384,25,4.0,10,4.0,5650,18,No,6033.5,5997,5004,4958,4916,1740,3744,541,391,13,2.4,14,3.6,5477,17,No,5821,5943,3958,4626,4916,2035,568,410,15,2.6,16,3.9
S01000011,S02000007,"Aberdeen City - Cults, Bieldside and Milltimber West",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,6276,20,No,6479,6493,5695,6206,6142,1805,5955,1057,652,10,1.0,5,1.0,6104,19,No,6431,6462,5621,6356,6142,1142,5690,901,557,10,1.1,9,1.6,6162,19,No,6163.5,6394,5814,6125,6142,1431,918,570,16,1.7,12,2.1
S01000012,S02000002,"Aberdeen City - Kincorth, Leggart and Nigg South",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,5237,17,No,5736,6166,5095,4463,5802,890,4161,1294,848,50,4.0,25,3.0,5463,17,No,6394,5855,4908,4523,5802,1240,3858,896,578,12,1.3,23,4.0,5372,17,No,5784.5,5640.5,4667,4304,5802,1574,874,594,24,2.7,28,4.7
S01000013,S02000003,Aberdeen City - Culter,109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,4044,13,No,3852,3825,3845,4015,3715,2005,3793,804,479,80,10.0,40,8.0,4725,15,No,4773,4337,4241,5185,3715,1785,4718,817,499,47,5.8,38,7.6,4838,15,No,4783,5544.5,4845,3787,3715,1515,898,545,52,5.8,27,5
S01000014,S02000005,Aberdeen City - Cove North,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,5136,16,No,5895,5223,4166,3337,4224,2270,5473,923,611,35,3.0,30,5.0,4928,16,No,5663,4857,3710,3582,4224,2176,5933,917,622,30,3.3,39,6.3,5035,16,No,5285,5338,4467,3713,4224,2084,919,637,38,4.1,35,5.5
