"2001 Multi-member Ward Populations - Data Zone, Output Area & Postcode Based",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CODE,MULTIMEMBER WARD NAME,PC POPULATION,,PCs,,OA POPULATION,,OAs,,Δ (OA POP - PC POP),,%Δ (OA POP - PC POP),,DZ POPULATION,,DZs,,Δ (DZ POP - PC POP),,%Δ (DZ POP - PC POP),
,101,Dyce/Bucksburn/Danestone,"17,788",,481,,"17,808",,143,,20,,0.11,,"17,269",,22,,-519,,-2.92,
,102,Bridge of Don,"19,456",,379,,"19,452",,146,,-4,,-0.02,,"19,804",,27,,348,,1.79,
,103,Kingswells/Sheddocksley,"14,722",,323,,"14,681",,122,,-41,,-0.28,,"14,112",,18,,-610,,-4.14,
,104,Northfield,"16,804",,388,,"16,872",,141,,68,,0.40,,"17,235",,22,,431,,2.56,
,105,Hilton/Stockethill,"14,793",,346,,"14,801",,142,,8,,0.05,,"15,433",,20,,640,,4.33,
,106,Tillydrone/Seaton/Old Aberdeen,"14,338",,309,,"14,194",,125,,-144,,-1.00,,"14,554",,18,,216,,1.51,
,107,Midstocket/Rosemount,"14,884",,437,,"14,970",,143,,86,,0.58,,"14,229",,17,,-655,,-4.40,
,108,George St/Harbour,"14,749",,472,,"14,785",,150,,36,,0.24,,"14,339",,16,,-410,,-2.78,
,109,Lower Deeside,"15,019",,444,,"15,058",,120,,39,,0.26,,"14,843",,19,,-176,,-1.17,
,110,Hazlehead/Ashley/Queens Cross,"18,253",,495,,"18,135",,162,,-118,,-0.65,,"18,921",,23,,668,,3.66,
,111,Airyhall/Broomhill/Garthdee,"15,719",,391,,"15,733",,136,,14,,0.09,,"15,761",,19,,42,,0.27,
,112,Torry/Ferryhill,"19,555",,537,,"19,615",,196,,60,,0.31,,"19,604",,26,,49,,0.25,
,113,Kincorth/Loirston,"16,018",,396,,"16,021",,135,,3,,0.02,,"16,021",,20,,3,,0.02,
,201,Banff and District,"11,206",,581,,"11,255",,93,,49,,0.44,,"10,958",,13,,-248,,-2.21,
,202,Troup,"9,639",,488,,"9,503",,75,,-136,,-1.41,,"9,352",,13,,-287,,-2.98,
,203,Fraserburgh and District,"14,965",,362,,"14,984",,114,,19,,0.13,,"14,876",,19,,-89,,-0.59,
,204,Central Buchan,"12,661",,648,,"12,688",,97,,27,,0.21,,"13,362",,20,,701,,5.54,
,205,Peterhead North and Rattray,"13,680",,436,,"13,945",,117,,265,,1.94,,"13,582",,18,,-98,,-0.72,
,206,Peterhead South and Cruden,"12,679",,331,,"12,527",,97,,-152,,-1.20,,"12,715",,15,,36,,0.28,
,207,Turriff and District,"10,798",,557,,"10,785",,85,,-13,,-0.12,,"10,686",,15,,-112,,-1.04,
