2001 Scottish National Park Populations - Output Area Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,OA,OUTPUT AREA POPULATION,,,CODE,NATIONAL PARK NAME,OA,OUTPUT AREA POPULATION,
,1,The Cairngorms National Park,60QT001412,108,,,2,The Loch Lomond and The Trossachs National Park,60RG000034,151,
,1,The Cairngorms National Park,60QX000087,89,,,2,The Loch Lomond and The Trossachs National Park,60RG000086,98,
,1,The Cairngorms National Park,60QT000470,138,,,2,The Loch Lomond and The Trossachs National Park,60RG000085,127,
,1,The Cairngorms National Park,60QT000472,149,,,2,The Loch Lomond and The Trossachs National Park,60RG000084,101,
,1,The Cairngorms National Park,60QT000471,162,,,2,The Loch Lomond and The Trossachs National Park,60RG000055,136,
,1,The Cairngorms National Park,60QT001549,204,,,2,The Loch Lomond and The Trossachs National Park,60RG000045,149,
,1,The Cairngorms National Park,60QT001548,81,,,2,The Loch Lomond and The Trossachs National Park,60RG000044,89,
,1,The Cairngorms National Park,60QT000476,125,,,2,The Loch Lomond and The Trossachs National Park,60RG000043,134,
,1,The Cairngorms National Park,60QT001411,108,,,2,The Loch Lomond and The Trossachs National Park,60RG000038,81,
,1,The Cairngorms National Park,60QT001375,64,,,2,The Loch Lomond and The Trossachs National Park,60RG000037,86,
,1,The Cairngorms National Park,60QT000473,148,,,2,The Loch Lomond and The Trossachs National Park,60RG000032,95,
,1,The Cairngorms National Park,60QT001547,100,,,2,The Loch Lomond and The Trossachs National Park,60RG000035,106,
,1,The Cairngorms National Park,60QT001366,87,,,2,The Loch Lomond and The Trossachs National Park,60RG000033,153,
,1,The Cairngorms National Park,60QT001225,104,,,2,The Loch Lomond and The Trossachs National Park,60RG000030,160,
,1,The Cairngorms National Park,60QX000601,59,,,2,The Loch Lomond and The Trossachs National Park,60RG000036,89,
,1,The Cairngorms National Park,60QT001551,86,,,2,The Loch Lomond and The Trossachs National Park,60RG000480,99,
,1,The Cairngorms National Park,60QT001314,91,,,2,The Loch Lomond and The Trossachs National Park,60RG000488,87,
,1,The Cairngorms National Park,60QT001413,143,,,2,The Loch Lomond and The Trossachs National Park,60QG000053,233,
,1,The Cairngorms National Park,60QT001381,163,,,2,The Loch Lomond and The Trossachs National Park,60RG000487,175,
,1,The Cairngorms National Park,60QT001748,100,,,2,The Loch Lomond and The Trossachs National Park,60RG000485,111,
,1,The Cairngorms National Park,60QT001228,67,,,2,The Loch Lomond and The Trossachs National Park,60RG000484,117,
,1,The Cairngorms National Park,60QT000480,134,,,2,The Loch Lomond and The Trossachs National Park,60RG000483,204,
,1,The Cairngorms National Park,60QT000002,173,,,2,The Loch Lomond and The Trossachs National Park,60RG000486,182,
,1,The Cairngorms National Park,60QT000001,114,,,2,The Loch Lomond and The Trossachs National Park,60RG000481,55,
,1,The Cairngorms National Park,60QT000478,115,,,2,The Loch Lomond and The Trossachs National Park,60RG000087,69,
,1,The Cairngorms National Park,60QT001414,62,,,2,The Loch Lomond and The Trossachs National Park,60RG000479,156,
,1,The Cairngorms National Park,60QX000086,92,,,2,The Loch Lomond and The Trossachs National Park,60RG000478,196,
,1,The Cairngorms National Park,60QT000479,174,,,2,The Loch Lomond and The Trossachs National Park,60RG000477,152,
,1,The Cairngorms National Park,60QT000477,140,,,2,The Loch Lomond and The Trossachs National Park,60RG000476,135,
,1,The Cairngorms National Park,60QT000475,128,,,2,The Loch Lomond and The Trossachs National Park,60RG000463,190,
,1,The Cairngorms National Park,60QT001550,252,,,2,The Loch Lomond and The Trossachs National Park,60RG000462,126,
,1,The Cairngorms National Park,60QT001376,59,,,2,The Loch Lomond and The Trossachs National Park,60RG000088,55,
,1,The Cairngorms National Park,60QT000474,219,,,2,The Loch Lomond and The Trossachs National Park,60RG000482,141,
,1,The Cairngorms National Park,60QT001258,74,,,2,The Loch Lomond and The Trossachs National Park,60QG000041,156,
,1,The Cairngorms National Park,60QB000374,101,,,2,The Loch Lomond and The Trossachs National Park,60QG000048,106,
,1,The Cairngorms National Park,60QX000600,144,,,2,The Loch Lomond and The Trossachs National Park,60QG000047,120,
,1,The Cairngorms National Park,60QB000468,138,,,2,The Loch Lomond and The Trossachs National Park,60QG000046,118,
,1,The Cairngorms National Park,60QB000467,101,,,2,The Loch Lomond and The Trossachs National Park,60QG000045,134,
,1,The Cairngorms National Park,60QB000379,141,,,2,The Loch Lomond and The Trossachs National Park,60QG000044,116,
,1,The Cairngorms National Park,60QB000378,132,,,2,The Loch Lomond and The Trossachs National Park,60QG000301,103,
,1,The Cairngorms National Park,60QB000377,144,,,2,The Loch Lomond and The Trossachs National Park,60QG000042,154,
,1,The Cairngorms National Park,60QB000470,92,,,2,The Loch Lomond and The Trossachs National Park,60QG000051,99,
,1,The Cairngorms National Park,60QB000375,93,,,2,The Loch Lomond and The Trossachs National Park,60QG000040,131,
,1,The Cairngorms National Park,60QB001264,98,,,2,The Loch Lomond and The Trossachs National Park,60QG000039,160,
,1,The Cairngorms National Park,60QB000358,86,,,2,The Loch Lomond and The Trossachs National Park,60QG000038,161,
,1,The Cairngorms National Park,60QB000357,53,,,2,The Loch Lomond and The Trossachs National Park,60QG000037,67,
,1,The Cairngorms National Park,60QB000258,60,,,2,The Loch Lomond and The Trossachs National Park,60RG000489,121,
,1,The Cairngorms National Park,60QT000504,141,,,2,The Loch Lomond and The Trossachs National Park,60RG000684,97,
,1,The Cairngorms National Park,60QB000256,137,,,2,The Loch Lomond and The Trossachs National Park,60QG000043,108,
,1,The Cairngorms National Park,60QC000064,85,,,2,The Loch Lomond and The Trossachs National Park,60QG000331,64,
,1,The Cairngorms National Park,60QB000376,60,,,2,The Loch Lomond and The Trossachs National Park,60RG000009,94,
,1,The Cairngorms National Park,60QB001412,93,,,2,The Loch Lomond and The Trossachs National Park,60RG000008,104,
,1,The Cairngorms National Park,60QX000085,141,,,2,The Loch Lomond and The Trossachs National Park,60RG000007,170,
,1,The Cairngorms National Park,60QX000084,81,,,2,The Loch Lomond and The Trossachs National Park,60RG000006,109,
,1,The Cairngorms National Park,60QX000083,119,,,2,The Loch Lomond and The Trossachs National Park,60RG000005,92,
,1,The Cairngorms National Park,60QB001712,70,,,2,The Loch Lomond and The Trossachs National Park,60RG000004,59,
,1,The Cairngorms National Park,60QB001711,164,,,2,The Loch Lomond and The Trossachs National Park,60QG000049,113,
,1,The Cairngorms National Park,60QB001710,208,,,2,The Loch Lomond and The Trossachs National Park,60QG000332,73,
,1,The Cairngorms National Park,60QB000469,175,,,2,The Loch Lomond and The Trossachs National Park,60QG000050,170,
,1,The Cairngorms National Park,60QB001451,154,,,2,The Loch Lomond and The Trossachs National Park,60QG000306,86,
,1,The Cairngorms National Park,60QB000257,179,,,2,The Loch Lomond and The Trossachs National Park,60QG000305,116,
,1,The Cairngorms National Park,60QB001411,107,,,2,The Loch Lomond and The Trossachs National Park,60QG000303,84,
,1,The Cairngorms National Park,60QB001410,183,,,2,The Loch Lomond and The Trossachs National Park,60QG000004,160,
,1,The Cairngorms National Park,60QB001293,79,,,2,The Loch Lomond and The Trossachs National Park,60QG000300,122,
,1,The Cairngorms National Park,60QB001291,204,,,2,The Loch Lomond and The Trossachs National Park,60RG000029,112,
