2001 Scottish National Park Populations - Postcode Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,,,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,
,1,The Cairngorms National Park,AB35 5QN,0,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JN,10,
,1,The Cairngorms National Park,AB35 5QY,13,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JW,5,
,1,The Cairngorms National Park,AB35 5QA,6,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JJ,31,
,1,The Cairngorms National Park,AB35 5QB,2,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JQ,114,
,1,The Cairngorms National Park,AB35 5QD,0,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JE,25,
,1,The Cairngorms National Park,AB35 5QE,6,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JR,29,
,1,The Cairngorms National Park,AB35 5QF,21,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JP,3,
,1,The Cairngorms National Park,AB35 5QG,9,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JS,25,
,1,The Cairngorms National Park,AB35 5QH,36,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JX,5,
,1,The Cairngorms National Park,AB35 5PY,11,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JU,4,
,1,The Cairngorms National Park,AB35 5QL,39,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LB,5,
,1,The Cairngorms National Park,AB35 5PX,7,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LA,7,
,1,The Cairngorms National Park,AB35 5QP,23,,,2,The Loch Lomond and The Trossachs National Park,FK17 8HR,6,
,1,The Cairngorms National Park,AB35 5QQ,52,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JY,1,
,1,The Cairngorms National Park,AB35 5QR,17,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JZ,14,
,1,The Cairngorms National Park,AB35 5QS,16,,,2,The Loch Lomond and The Trossachs National Park,FK17 8JT,18,
,1,The Cairngorms National Park,AB35 5QT,71,,,2,The Loch Lomond and The Trossachs National Park,FK17 8HP,8,
,1,The Cairngorms National Park,AB35 5QU,12,,,2,The Loch Lomond and The Trossachs National Park,FK17 8HA,12,
,1,The Cairngorms National Park,AB35 5QW,2,,,2,The Loch Lomond and The Trossachs National Park,FK17 8HD,42,
,1,The Cairngorms National Park,AB35 5GJ,17,,,2,The Loch Lomond and The Trossachs National Park,FK17 8HE,50,
,1,The Cairngorms National Park,AB35 5QJ,24,,,2,The Loch Lomond and The Trossachs National Park,FK17 8HF,27,
,1,The Cairngorms National Park,AB35 5PE,8,,,2,The Loch Lomond and The Trossachs National Park,FK19 8NT,10,
,1,The Cairngorms National Park,AB35 5TL,2,,,2,The Loch Lomond and The Trossachs National Park,FK17 8LD,0,
,1,The Cairngorms National Park,AB35 5GS,32,,,2,The Loch Lomond and The Trossachs National Park,FK17 8HG,20,
,1,The Cairngorms National Park,AB35 5NE,8,,,2,The Loch Lomond and The Trossachs National Park,FK17 8HT,89,
