"2001 Scottish Parliamentary Constituency Populations - Data Zone, Output Area & Postcode Based",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CODE,SCOTTISH PARLIAMENTARY CONSTITUENCY NAME,PC POPULATION,,PCs,,OA POPULATION,,OAs,,Δ (OA POP - PC POP),,%Δ (OA POP - PC POP),,DZ POPULATION,,DZs,,Δ (DZ POP - PC POP),,%Δ (DZ POP - PC POP),
,1,Aberdeen Central,"66,370",,"1,854",,"66,533",,639,,163,,0.25,,"65,811",,81,,-559,,-0.84,
,2,Aberdeen North,"69,047",,"1,571",,"68,970",,550,,-77,,-0.11,,"69,819",,90,,772,,1.12,
,3,Aberdeen South,"76,727",,"1,975",,"76,622",,672,,-105,,-0.14,,"76,495",,96,,-232,,-0.30,
,4,Airdrie and Shotts,"76,400",,"1,620",,"76,407",,586,,7,,0.01,,"76,175",,98,,-225,,-0.29,
,5,Angus,"76,455",,"2,349",,"76,614",,646,,159,,0.21,,"76,300",,99,,-155,,-0.20,
,6,Argyll and Bute,"63,657",,"2,035",,"63,664",,568,,7,,0.01,,"63,443",,86,,-214,,-0.34,
,7,Ayr,"69,459",,"1,908",,"69,642",,601,,183,,0.26,,"70,465",,92,,"1,006",,1.45,
,8,Banff and Buchan,"75,167",,"2,877",,"75,140",,595,,-27,,-0.04,,"74,845",,98,,-322,,-0.43,
,9,"Caithness, Sutherland and Easter Ross","51,836",,"1,820",,"51,823",,442,,-13,,-0.03,,"51,870",,76,,34,,0.07,
,10,"Carrick, Cumnock and Doon Valley","83,311",,"2,531",,"83,128",,686,,-183,,-0.22,,"82,305",,109,,"-1,006",,-1.21,
,11,Central Fife,"75,268",,"1,744",,"75,255",,628,,-13,,-0.02,,"75,092",,98,,-176,,-0.23,
,12,Clydebank and Milngavie,"67,523",,"1,637",,"67,679",,566,,156,,0.23,,"67,737",,83,,214,,0.32,
,13,Clydesdale,"81,862",,"2,184",,"81,888",,657,,26,,0.03,,"81,888",,110,,26,,0.03,
,14,Coatbridge and Chryston,"67,485",,"1,578",,"67,588",,536,,103,,0.15,,"67,613",,88,,128,,0.19,
,15,Cumbernauld and Kilsyth,"64,574",,"1,124",,"64,552",,490,,-22,,-0.03,,"64,552",,84,,-22,,-0.03,
,16,Cunninghame North,"69,975",,"2,134",,"70,069",,600,,94,,0.13,,"69,740",,91,,-235,,-0.34,
,17,Cunninghame South,"65,842",,"1,611",,"65,748",,532,,-94,,-0.14,,"66,077",,88,,235,,0.36,
,18,Dumbarton,"75,562",,"2,062",,"75,562",,619,,0,,0.00,,"76,074",,98,,512,,0.68,
,19,Dumfries,"80,941",,"2,907",,"80,784",,677,,-157,,-0.19,,"81,977",,108,,"1,036",,1.28,
,20,Dundee East,"73,295",,"1,955",,"72,879",,653,,-416,,-0.57,,"72,832",,91,,-463,,-0.63,
,21,Dundee West,"71,470",,"2,065",,"71,792",,630,,322,,0.45,,"71,544",,86,,74,,0.10,
,22,Dunfermline East,"66,832",,"1,476",,"67,166",,551,,334,,0.50,,"66,692",,88,,-140,,-0.21,
,23,Dunfermline West,"68,470",,"1,652",,"68,148",,557,,-322,,-0.47,,"68,341",,86,,-129,,-0.19,
,24,East Kilbride,"85,909",,"1,798",,"85,864",,681,,-45,,-0.05,,"85,715",,115,,-194,,-0.23,
,25,East Lothian,"75,066",,"2,304",,"75,266",,630,,200,,0.27,,"75,485",,100,,419,,0.56,
,26,Eastwood,"89,311",,"2,252",,"89,311",,688,,0,,0.00,,"89,311",,120,,0,,0.00,
,27,Edinburgh Central,"76,861",,"2,000",,"76,897",,746,,36,,0.05,,"76,076",,94,,-785,,-1.02,
,28,Edinburgh East and Musselburgh,"75,164",,"1,853",,"75,014",,675,,-150,,-0.20,,"74,690",,96,,-474,,-0.63,
,29,Edinburgh North and Leith,"74,322",,"2,092",,"74,353",,736,,31,,0.04,,"74,761",,93,,439,,0.59,
,30,Edinburgh Pentlands,"77,979",,"1,895",,"77,820",,635,,-159,,-0.20,,"78,336",,94,,357,,0.46,
,31,Edinburgh South,"79,422",,"1,882",,"79,511",,647,,89,,0.11,,"79,662",,97,,240,,0.30,
,32,Edinburgh West,"79,898",,"2,165",,"79,851",,666,,-47,,-0.06,,"79,702",,95,,-196,,-0.25,
,33,Falkirk East,"75,623",,"1,882",,"75,762",,633,,139,,0.18,,"75,956",,101,,333,,0.44,
,34,Falkirk West,"69,568",,"1,680",,"69,429",,577,,-139,,-0.20,,"69,235",,96,,-333,,-0.48,
,35,Galloway and Upper Nithsdale,"66,824",,"3,337",,"66,981",,579,,157,,0.23,,"65,788",,85,,"-1,036",,-1.55,
,36,Glasgow Anniesland,"64,422",,"1,606",,"63,964",,568,,-458,,-0.71,,"64,040",,78,,-382,,-0.59,
,37,Glasgow Baillieston,"63,232",,"1,480",,"63,281",,522,,49,,0.08,,"63,981",,79,,749,,1.18,
,38,Glasgow Cathcart,"63,196",,"1,359",,"63,226",,558,,30,,0.05,,"63,595",,78,,399,,0.63,
,39,Glasgow Govan,"60,403",,"1,566",,"60,393",,555,,-10,,-0.02,,"60,690",,70,,287,,0.48,
,40,Glasgow Kelvin,"65,168",,"2,064",,"65,625",,608,,457,,0.70,,"64,681",,74,,-487,,-0.75,
